발표시간,지역,시군구,재난종류,특보등급,해당지역,연결대피유형,기준위도,기준경도,1순위_대피소명,1순위_주소,1순위_대피소유형,1순위_거리_km,2순위_대피소명,2순위_주소,2순위_대피소유형,2순위_거리_km,3순위_대피소명,3순위_주소,3순위_대피소유형,3순위_거리_km,평균거리_km
2023-08-16 19:30,부산,부산,폭풍해일,주의보,(1) 폭풍해일주의보 발표 : 부산,지진해일대피장소,35.17834760316723,129.06805417690035,광안초등학교 운동장,부산광역시 수영구 광안로35번길 38,지진해일대피장소,5.058,한바다중학교 운동장,부산광역시 수영구 민락동 186,지진해일대피장소,5.125,수영구청,부산광역시 수영구 남천동로 100(남천동),지진해일대피장소,5.486,5.223
2023-08-17 1:05,경북,칠곡,호우,주의보,(1) 호우주의보 발표 : 경상북도(칠곡),쉼터,36.01579794713356,128.43075017654724,아곡리박실경로당,경상북도 칠곡군 왜관읍 아곡3길 28,"한파쉼터,무더위쉼터",0.197,반계경로당,경상북도 칠곡군 석적읍 반계2길 23,"한파쉼터,무더위쉼터",0.906,아곡리경로당,경상북도 칠곡군 왜관읍 석전로 271-1,"한파쉼터,무더위쉼터",1.115,0.739
2023-08-17 1:30,경남,산청,호우,주의보,(1) 호우주의보 발표 : 경상남도(산청),쉼터,35.372115948271954,127.91269876798867,신기경로당,경상남도 산청군 산청읍 산청대로1286번길 15 ,"한파쉼터,무더위쉼터",0.138,심거마을회관,경상남도 산청군 신안면 산청대로1212번길 42-11,"한파쉼터,무더위쉼터",0.833,풍현장애인복지시설,경상남도 산청군 산청읍 산청대로1381번길 17 (성심원),"한파쉼터,무더위쉼터",0.969,0.647
2023-08-17 2:00,경남,진주,호우,주의보,(1) 호우주의보 발표 : 경상남도(진주. 합천),쉼터,35.188251242158955,128.12604152609728,하대경로당,경상남도 진주시 모덕로294번길 11-3 (하대동),"한파쉼터,무더위쉼터",0.033,한보타워맨션경로당,경상남도 진주시 모덕로306번길 2,"한파쉼터,무더위쉼터",0.087,진주원예농협도동지점,경상남도 진주시 모덕로306번길 8,"한파쉼터,무더위쉼터",0.101,0.074
2023-08-17 2:00,경남,합천,호우,주의보,(1) 호우주의보 발표 : 경상남도(진주. 합천),쉼터,35.56938011793624,128.16082301006713,옥산동경로당,경상남도 합천군 합천읍 충효로 106-8 ,"한파쉼터,무더위쉼터",0.155,영창마을경로회관,경상남도 합천군 합천읍영창1길 9,"한파쉼터,무더위쉼터",0.188,영창야외쉼터,경상남도 합천군 합천읍 영창1길 9,무더위쉼터,0.189,0.177
2023-08-17 2:20,경남,하동,호우,주의보,(1) 호우주의보 발표 : 경상남도(하동),쉼터,35.09452868091346,127.80295061009616,개인경로당,경상남도 하동군 횡천면 개인길 5,"한파쉼터,무더위쉼터",0.098,인동경로당,경상남도 하동군 횡천면 인동길 18,"한파쉼터,무더위쉼터",0.62,하남경로당,경상남도 하동군 횡천면 경서대로 885-6,"한파쉼터,무더위쉼터",0.621,0.446
2023-08-17 20:10,부산,부산,폭풍해일,주의보,(1) 폭풍해일주의보 발표 : 부산,지진해일대피장소,35.17834760316723,129.06805417690035,광안초등학교 운동장,부산광역시 수영구 광안로35번길 38,지진해일대피장소,5.058,한바다중학교 운동장,부산광역시 수영구 민락동 186,지진해일대피장소,5.125,수영구청,부산광역시 수영구 남천동로 100(남천동),지진해일대피장소,5.486,5.223
2023-08-17 21:00,경남,거제,폭풍해일,주의보,(1) 폭풍해일주의보 발표 : 경상남도(거제),지진해일대피장소,34.88477690371359,128.63263774223302,(구)외양포 가는길,부산광역시 강서구 대항동 산 13-29,지진해일대피장소,22.383,대항주차장,부산광역시 강서구 대항동 산 13-26,지진해일대피장소,22.87,대항마을진입로,부산광역시 강서구 대항동 396-2,지진해일대피장소,22.885,22.713
2023-08-18 7:10,울산,울산,호우,주의보,(1) 호우주의보 발표 : 울산,쉼터,35.54581280483067,129.29350947175718,상아타워@경로당,울산광역시 남구 은월로 22  (옥동),"한파쉼터,무더위쉼터",0.529,전원아파트경로당,"울산광역시 중구 신기길 31  (태화동, 전원타운아파트)","한파쉼터,무더위쉼터",0.554,태화교회(비움새도서관),울산광역시 중구 신기8길 65 (태화교회),"한파쉼터,무더위쉼터",0.665,0.583
2023-08-18 16:10,경북,청송,호우,주의보,(1) 호우주의보 발표 : 경상북도(청송),쉼터,36.39551906622951,129.03339484262295,노래2리경로당,경상북도 청송군 안덕면 신노래길 2-29 ,"한파쉼터,무더위쉼터",2.272,금곡2리경로당,경상북도 청송군 청송읍 초막본길 19 ,"한파쉼터,무더위쉼터",3.141,청운리경로당,경상북도 청송군 청송읍 청송로 4638 ,"한파쉼터,무더위쉼터",3.217,2.877
2023-08-18 16:40,경북,의성,호우,주의보,(1) 호우주의보 발표 : 경상북도(의성),쉼터,36.362034135348836,128.58151422059802,괴산2리경로당,경상북도 의성군 안평면 봉호로 782 ,"한파쉼터,무더위쉼터",0.395,윈도옥경로당,경상북도 의성군 안평면 도옥1길 46 ,"한파쉼터,무더위쉼터",0.819,마전경로당,경상북도 의성군 안평면 마전길 77 ,"한파쉼터,무더위쉼터",1.125,0.78
2023-08-18 18:20,경남,산청,호우,주의보,(1) 호우주의보 발표 : 경상남도(산청),쉼터,35.372115948271954,127.91269876798867,신기경로당,경상남도 산청군 산청읍 산청대로1286번길 15 ,"한파쉼터,무더위쉼터",0.138,심거마을회관,경상남도 산청군 신안면 산청대로1212번길 42-11,"한파쉼터,무더위쉼터",0.833,풍현장애인복지시설,경상남도 산청군 산청읍 산청대로1381번길 17 (성심원),"한파쉼터,무더위쉼터",0.969,0.647
2023-08-19 2:20,부산,부산,호우,주의보,(1) 호우주의보 발표 : 부산,쉼터,35.17834760316723,129.06805417690035,거제3동경로회관,부산광역시 연제구 거제대로74번길 71,"한파쉼터,무더위쉼터",0.163,해맞이경로당,"부산광역시 연제구 해맞이로43번길 36 , 해맞이경로당 (거제동)","한파쉼터,무더위쉼터",0.174,해맞이작은도서관,부산광역시 연제구 해맞이로43번길 36 (해맞이경로당),"한파쉼터,무더위쉼터",0.177,0.172
2023-08-19 11:00,경남,사천,호우,주의보,(1) 호우주의보 발표 : 경상남도(사천),쉼터,35.02462093206897,128.0565141768473,용정경로당,경상남도 사천시 용현면 용정길 134-5,"한파쉼터,무더위쉼터",0.191,온정경로당,"경상남도 사천시 용현면 온정2길 65 , 온정새마을회관","한파쉼터,무더위쉼터",0.317,장송경로당,"경상남도 사천시 용현면 장송2길 35 , 장송마을회관","한파쉼터,무더위쉼터",1.045,0.518
2023-08-20 9:00,경북,영덕,폭염,주의보,(1) 폭염주의보 발표 : 경상북도(영덕. 울진평지. 포항. 경주. 경북북동산지) / (2) 폭염경보 변경 : 경상북도(영천. 경산),쉼터,36.46090919658402,129.36401693278236,화천2리경로당겸마을회관,경상북도 영덕군 영덕읍 화천3길 6-1 ,"한파쉼터,무더위쉼터",0.399,화천3리경로당겸마을회관,경상북도 영덕군 영덕읍 화천길 373 ,"한파쉼터,무더위쉼터",1.008,화천1리경로당겸마을회관,경상북도 영덕군 영덕읍 화천1길 35 ,"한파쉼터,무더위쉼터",1.338,0.915
2023-08-20 9:00,경북,포항,폭염,주의보,(1) 폭염주의보 발표 : 경상북도(영덕. 울진평지. 포항. 경주. 경북북동산지) / (2) 폭염경보 변경 : 경상북도(영천. 경산),쉼터,36.05683072506483,129.3672436704408,우현풍림아이원마을쉼터,"경상북도 포항시 북구 우창동로 71 (우현동, 풍림아이원아파트)","한파쉼터,무더위쉼터",0.211,우현시영마을쉼터,"경상북도 포항시 북구 새천년대로 940 (우현동, 우현시영아파트)","한파쉼터,무더위쉼터",0.354,우방신천지마을쉼터,"경상북도 포항시 북구 새천년대로1020번길 12 (두호동, 우방신천지타운)","한파쉼터,무더위쉼터",0.469,0.345
2023-08-20 9:00,경북,경주,폭염,주의보,(1) 폭염주의보 발표 : 경상북도(영덕. 울진평지. 포항. 경주. 경북북동산지) / (2) 폭염경보 변경 : 경상북도(영천. 경산),쉼터,35.852987198960676,129.24420793904494,알천경로당,경상북도 경주시 초당길43번길 13-8 (동천동),"한파쉼터,무더위쉼터",1.213,숲머리경로당,"경상북도 경주시 숲머리길 130-24, 숲머리경로당 (보문동)","한파쉼터,무더위쉼터",1.461,북군경로당,"경상북도 경주시 북군2길 12-3, 북군경로당 (북군동)","한파쉼터,무더위쉼터",1.659,1.445
