대피소명,주소,위도,경도,수용인원,지역,시도,시군구
한수원아파트,경상북도 울진군 북면 울진북로 2149(울진원자력본부 직원사택),37.1095448,129.3725646,500,경상북도,경북,울진군
죽변비취모텔 뒷 편,경상북도 울진군 죽변면 울진북로 1103-14 ,37.0373571,129.4136265,100,경상북도,경북,울진군
봉평1리 마을회관,경상북도 울진군 죽변면 골장길 69,37.0351539,129.4119206,100,경상북도,경북,울진군
산포3리 마을회관,경상북도 울진군 근남면 금호길 55,36.9464321,129.4170356,100,경상북도,경북,울진군
남정중학교,경상북도 영덕군 남정면 진불길 11-27 ,36.2833823,129.3707311,500,경상북도,경북,영덕군
웰빙문화테마 마을입,경상북도 영덕군 남정면 동해대로 4165-11 ,36.3295289,129.3774708,70,경상북도,경북,영덕군
장기초등학교 모포분교 운동장,경상북도 포항시 남구 장기면 모포길 59,35.93446799,129.5232537,50,경상북도,경북,포항시
축산항 초교 ,경상북도 영덕군 축산면 축산항초교길 2,36.5092801,129.4424116,400,경상북도,경북,영덕군
포항공대평해 연수원뒷산,경상북도 울진군 평해읍 개바위길 63,36.7158559,129.4716346,200,경상북도,경북,울진군
파도향기펜션,경상북도 울진군 평해읍 박실길 12-16 ,36.7115104,129.4725412,300,경상북도,경북,울진군
힐링턴콘도,경상북도 영덕군 남정면 동해대로 3478,36.2722141,129.3771907,400,경상북도,경북,영덕군
비행훈련원 기숙사,경상북도 울진군 기성면 기성로 721,36.8019228,129.4490558,100,경상북도,경북,울진군
기성초등학교 운동장,경상북도 울진군 기성면 척산2길 24-5 ,36.79765864,129.4495586,200,경상북도,경북,울진군
척산리 135번지  일대,경상북도 울진군 기성면 척산1길 69,36.7964074,129.4492087,30,경상북도,경북,울진군
후포초등학교 운동장,경상북도 울진군 후포면 삼율5길 8,36.68067109,129.4415825,9000,경상북도,경북,울진군
남울진 청년회의소,경상북도 울진군 후포면 정실2길 104,36.6775146,129.4359237,300,경상북도,경북,울진군
공영하이츠 옥상,경상북도 울진군 후포면 정실2길 24,36.6774715,129.4389305,500,경상북도,경북,울진군
보성장여관 옥상,경상북도 울진군 후포면 후포삼율로 70,36.6763056,129.4403923,200,경상북도,경북,울진군
후포2리마을고지대,경상북도 울진군 후포면 후포6길 9-52 ,36.6835462,129.4588244,100,경상북도,경북,울진군
후포2리 뒷산,경상북도 울진군 후포면 후포5길 17-4 ,36.6838495,129.4563943,400,경상북도,경북,울진군
울산교육수련원 주차장,울산광역시 북구 동해안로 1769(신명동),35.6412162,129.4396034,800,울산광역시,울산,북구
죽천초등학교 운동장,경상북도 포항시 북구 흥해읍 죽천길185번길 30,36.09778199,129.4278315,200,경상북도,경북,포항시
해안로511번길10,경상북도 포항시 북구 해안로511번길 9(여남동),36.0734681,129.4131464,150,경상북도,경북,포항시
 환호여중 앞,경상북도 포항시 북구 삼호로 480-8 (환호동),36.071144,129.4005427,370,경상북도,경북,포항시
포항해양과학고등학교(한국해양마이스터고등학교) 운동장,경상북도 포항시 북구 여남포길21번길 18(여남동),36.07468429,129.4052392,200,경상북도,경북,포항시
금음4리 마을회관 앞,경상북도 울진군 후포면 옥동길 36,36.645175,129.423171,50,경상북도,경북,울진군
포항고등학교 운동장,경상북도 포항시 북구 아호로 50(학산동),36.05563051,129.3714058,14545,경상북도,경북,포항시
대보초등학교 운동장,경상북도 포항시 남구 호미곶면 보천길 16,36.07817236,129.5572427,500,경상북도,경북,포항시
호미곶면 행정복지센터,경상북도 포항시 남구 호미곶면 해맞이로 242,36.08057424,129.555687,15,경상북도,경북,포항시
소하민박뒤,경상북도 영덕군 강구면 영덕대게로 231-2 ,36.3692253,129.3951734,50,경상북도,경북,영덕군
대구대학연수원 주차장,경상북도 영덕군 강구면 번영길 235,36.37977653,129.403176,500,경상북도,경북,영덕군
"영덕오토캠핑장 (구,창포초등학교)",경상북도 영덕군 영덕읍 창포길 2-11 ,36.4092927,129.4279926,430,경상북도,경북,영덕군
갈매기횟집 뒤,경상북도 영덕군 영덕읍 영덕대게로 793-5 ,36.4072403,129.4267642,30,경상북도,경북,영덕군
송정회관 마당,울산광역시 울주군 서생면 해맞이로 1326,35.3662423,129.3533143,200,울산광역시,울산,울주군
송정공원,울산광역시 울주군 서생면 송정1길 96,35.3699846,129.354355,600,울산광역시,울산,울주군
우산중학교 운동장,경상북도 울릉군 울릉읍 저동길 54,37.4948833,130.906157,500,경상북도,경북,울릉군
울릉고등학교 운동장,경상북도 울릉군 울릉읍 울릉순환로 236,37.4929972,130.907369,700,경상북도,경북,울릉군
현포분교 운동장,경상북도 울릉군 북면 현포1길 38,37.5245924,130.82194,300,경상북도,경북,울릉군
농업기술센터,경상북도 울릉군 울릉읍 간령길 83-18 ,37.460251,130.873821,640,경상북도,경북,울릉군
태하분교 운동장,경상북도 울릉군 서면 태하길 130,37.5130334,130.802054,50,경상북도,경북,울릉군
태하출장소,경상북도 울릉군 서면 태하1길 41,37.512325,130.800997,50,경상북도,경북,울릉군
늘푸른민박,경상북도 울진군 기성면 망양로 237,36.8566518,129.4244653,30,경상북도,경북,울진군
서면사무소,경상북도 울릉군 서면 남양4길 31,37.4722668,130.8360698,100,경상북도,경북,울릉군
남양초등학교,경상북도 울릉군 서면 남양1길 42-27 ,37.4688996,130.8399898,400,경상북도,경북,울릉군
울릉서중학교 운동장,경상북도 울릉군 서면 남서길 52,37.4687679,130.836491,400,경상북도,경북,울릉군
대왕암 앞 공영주차장,울산광역시 동구 해수욕장10길 101(일산동),35.49058,129.4339797,5854,울산광역시,울산,동구
문현초등학교 운동장,울산광역시 동구 꽃바위6길 25(방어동),35.48046712,129.4134636,3458,울산광역시,울산,동구
방어진초등학교 운동장,울산광역시 동구 꽃바위로 341(방어동),35.48733719,129.4246938,4557,울산광역시,울산,동구
화암초등학교 운동장,울산광역시 동구 화문로 55(방어동),35.48383108,129.4159438,7963,울산광역시,울산,동구
평동회관 마당,울산광역시 울주군 서생면 평동길 14,35.3566659,129.3533894,200,울산광역시,울산,울주군
평동어촌계회관 마당,울산광역시 울주군 서생면 평동2길 9,35.356159,129.353323,480,울산광역시,울산,울주군
서생중학교 운동장,울산광역시 울주군 서생면 당물길 1,35.35017964,129.3305638,1200,울산광역시,울산,울주군
성동초등학교 운동장,울산광역시 울주군 서생면 진하길 7,35.38509424,129.3413785,2000,울산광역시,울산,울주군
주전초등학교 운동장,울산광역시 동구 동해안로 575(주전동),35.55768598,129.4568738,2164,울산광역시,울산,동구
(구)울릉중학교 운동장,경상북도 울릉군 울릉읍 도동길 151-19 ,37.4846905,130.902879,400,경상북도,경북,울릉군
북면사무소,경상북도 울릉군 북면 천부3길 20,37.5411219,130.8746093,200,경상북도,경북,울릉군
천부초등학교 운동장,경상북도 울릉군 북면 천부길 95-3 ,37.5368233,130.871291,200,경상북도,경북,울릉군
서생면사무소 주차장,울산광역시 울주군 서생면 해맞이로 894,35.3499412,129.3262964,1600,울산광역시,울산,울주군
신암회관 마당,울산광역시 울주군 서생면 해맞이로 877-2 ,35.3491367,129.3239141,400,울산광역시,울산,울주군
소망교회 주차장,울산광역시 울주군 서생면 신리길 97,35.3451325,129.3201783,400,울산광역시,울산,울주군
