대피소명,주소,위도,경도,수용인원,시도,시군구
신암선열공원,대구광역시 동구 동북로71길 33(신암동),35.89184916,128.6313507,45030,대구,동구
연신초등학교 운동장,부산광역시 연제구 신금로23번길 30(연산동),35.19211768,129.0938294,7326,부산,연제구
이산초등학교 운동장,경상북도 영주시 이산면 이산로 487,36.82992959,128.6820204,983,경북,영주시
상당중학교운동장,부산광역시 해운대구 대천로103번길 48(좌동),35.17852197,129.1759318,6448,부산,해운대구
온천초등학교운동장,경상남도 창원시 의창구 북면 신리길30번길 17,35.34914738,128.6055143,6252,경남,창원시
도계초등학교운동장,경상남도 창원시 의창구 하남천동길 10(도계동),35.25915525,128.6391047,5414,경남,창원시
좌산초등학교운동장,부산광역시 해운대구 좌동순환로311번길 7(좌동),35.16867509,129.1840465,5818,부산,해운대구
수창초등학교 운동장,대구광역시 중구 달성로22길 30(수창동),35.87449832,128.5842097,11545,대구,중구
남산어린이공원,대구광역시 중구 남산로1길 32(남산동),35.8582,128.5813,9939,대구,중구
범일중학교,대구광역시 수성구 지범로41길 23(범물동),35.82056805,128.6443931,10407,대구,수성구
학성중학교운동장,울산광역시 남구 문수로 426(신정동),35.53224583,129.2988425,8907,울산,남구
덕상초등학교 운동장,부산광역시 사상구 덕상로 32(덕포동),35.17451132,128.9905,4286,부산,사상구
덕두초등학교 운동장,부산광역시 강서구 공항로791번길 68(대저2동),35.17507993,128.955996,4581,부산,강서구
부산항공고등학교 운동장,부산광역시 사상구 백양대로768번길 115(덕포동),35.17208551,128.9921408,6133,부산,사상구
신정초등학교운동장,울산광역시 남구 봉월로67번길 16(신정동),35.53886727,129.3043517,4042,울산,남구
동평중학교운동장,울산광역시 남구 도산로77번길 13-34 (달동),35.53363497,129.3249147,5089,울산,남구
무거중학교운동장,울산광역시 남구 대학로1번길 17-18 (무거동),35.53730247,129.2517684,4132,울산,남구
광안초등학교 운동장,부산광역시 수영구 광안로35번길 38(광안동),35.156861,129.117096,2773,부산,수영구
명륜초등학교 운동장,부산광역시 동래구 동래로 91(명륜동),35.20803753,129.0829651,3515,부산,동래구
여명중학교 운동장,부산광역시 동래구 여고로52번길 9(사직동),35.19559781,129.0703565,2909,부산,동래구
