대피소명,주소,대피소유형,위도,경도,시도,시군구,지역,수용인원
서대구농협평리지점,대구광역시 서구 서대구로 195 (평리동),무더위쉼터,35.8752286,128.5544211,대구,서구,대구 서구,
공단지구어린이공원2,"경상북도 구미시 산호대로 130 (공단동, 공단지구 우수저류시설)",무더위쉼터,36.094565,128.389746,경북,구미시,경북 구미시,
공단본부청사1층식당,경상남도 진주시 가호방아길 14,무더위쉼터,35.160474,128.115362,경남,진주시,경남 진주시,
함촌경로당,경상남도 진주시 정촌면 대축길85번길 43 ,무더위쉼터,35.126297,128.085418,경남,진주시,경남 진주시,
함지공원,대구광역시 북구 동암로38길 12 (구암동),무더위쉼터,35.942357,128.569148,대구,북구,대구 북구,
함지노인복지관,대구광역시 북구 동암로 180,무더위쉼터,35.942893,128.570442,대구,북구,대구 북구,
함창읍분회경로당(2층),경상북도 상주시 함창읍 함창중앙로 130 ,무더위쉼터,36.5691,128.1786,경북,상주시,경북 상주시,
함창도농교류커뮤니티센터(3층),경상북도 상주시 함창읍함창중앙로 130,무더위쉼터,36.5691,128.1786,경북,상주시,경북 상주시,
함안도서관,경상남도 함안군 가야읍 선왕길 16 (함안도서관),무더위쉼터,35.284732,128.401911,경남,함안군,경남 함안군,
함안군립칠원도서관,경상남도 함안군 칠원읍 원서로 56 (칠원읍),무더위쉼터,35.304814,128.515447,경남,함안군,경남 함안군,
함안-07마을쉼터,경상남도 함안군 함안면 한절골2길 264 ,무더위쉼터,35.2630319,128.4376431,경남,함안군,경남 함안군,
함안-06마을쉼터,경상남도 함안군 함안면 한절골4길 49,무더위쉼터,35.2502946,128.4328847,경남,함안군,경남 함안군,
공업탑스마트승강장(40403),울산광역시 남구 삼산로 24 (신정동),무더위쉼터,35.5327473,129.3105942,울산,남구,울산 남구,
공업탑스마트승강장(40404),울산광역시 남구 삼산로 17 (신정동),무더위쉼터,35.5333203,129.3097124,울산,남구,울산 남구,
공원,경상북도 영주시 장수면 장안로185번길 29-34 ,무더위쉼터,36.7894,128.5736,경북,영주시,경북 영주시,
함박공원내,경상남도 김해시 함박로 21 (외동),무더위쉼터,35.2338901,128.8567186,경남,김해시,경남 김해시,
함박경로당,부산광역시 북구 은행나무로36번길 17  (만덕동),무더위쉼터,35.2059529,129.0386446,부산,북구,부산 북구,
