"SHNTDTR_SN","ARCD","SHNT_PLACE_SN","SHNT_PLACE_NM","PSBL_NMPR","EV_ANTCTY","USE_AT","RN_DTL_ADRES","RDNMADR_CD","LO","LA","SHNT_PLACE_DTL_POSITION","SHNT_PLACE_TY_CD","ERTHQK_SHUNT_AT"
"대피지구일련번호","지역코드","대피장소일련번호","대피장소명","수용인원","해발고도","사용여부","도로명상세주소","도로명주소코드","경도","위도","대피장소상세위치","대피소종류","내진설계적용여부"
"23","4793000000","2","마을뒤공터","200","15","Y","","","129.4299075","36.6656027","경상북도 울진군 후포면 금음리 산 56-2","003","N"
"23","4793000000","3","마을뒤고지대","300","20","Y","","","129.4311601","36.6678337","경상북도 울진군 후포면 금음리 113-1","002","N"
"4","2671000000","1","서암마을 뒤 신도로","2000","17","Y","","","129.2222428","35.2154544","부산광역시 기장군 기장읍 연화리 507","003","N"
"4","2671000000","2","신암마을 뒤 신도로1","1200","28","Y","","","129.223647","35.216698","부산광역시 기장군 기장읍 연화리 276-3","003","N"
"4","2671000000","3","신암마을 뒤 신도로2","1200","17","Y","","","129.22487","35.21908","부산광역시 기장군 기장읍 연화리 193","003","N"
"4","2671000000","4","신암마을 교차로","1200","17","Y","","","129.2264271","35.220273","부산광역시 기장군 기장읍 연화리 산 1-11","003","N"
"4","5121000000","3","동명동성당","180","39","Y","강원특별자치도 속초시 영랑로7길 10-5 (영랑동)","4221010200103320000016957","128.5954363","38.213186","강원특별자치도 속초시 영랑동 95","002","N"
"41","4793000000","1","온양2리 마을회관 뒷 산","100","25","Y","","","129.4078624","37.0277217","경상북도 울진군 울진읍 온양리 127-2","002","N"
"41","4793000000","2","온양리 175번지 일대","100","17","Y","","","129.4072026","37.0251628","경상북도 울진군 울진읍 온양리 175","002","N"
"41","4793000000","3","교원사택","500","5","Y","경상북도 울진군 울진읍 울진북로 925","4793025024102240009024910","129.4085571","37.0237023","경상북도 울진군 울진읍 온양리 224-27","001","Y"
"44","4793000000","1","연지1리 마을회관","200","15","Y","경상북도 울진군 울진읍 현내항길 307","4793025023102030006025140","129.4153109","36.9914818","경상북도 울진군 울진읍 연지리 203-6","002","N"
