"SN","FLDN_DOWA","FLDN_GRD","FLDN_AREA","FLDN_YR","FLDN_DST_NM","FLDN_CS_DTL_NM","FLDN_BGNG_YMD","FLDN_END_YMD","FLDN_BGNG_TM","FLDN_END_TM","STDG_CTPV_CD","STDG_SGG_CD","GEOM"
"일련번호","침수수심","침수등급","침수면적","침수연도","침수재해명","침수원인상세명","침수시작일자","침수종료일자","침수시작시각","침수종료시각","법정동시도코드","법정동시군구코드","지오메트리"
"101","2.13","5","591725","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14390534.136151001 4297462.4019264299,14390494.7155257 4297437.1262192503,14390455.066023299 4297411.7048044996,14390404.103285899 4297380.0120613798,14390306.6824327 4297319.7485539,14390293.2350873 4297264.8761507301,14390276.0381168 4297194.0318583697,14390286.238646001 4297169.5919409804,14390330.809760099 4297100.0974049997,14390481.1548853 4297193.6396434102,14390523.034861701 4297219.3881565696,14390535.081124101 4297226.1294015599,14390639.597118599 4297290.9096722296,14390587.9018376 4297375.0581244696,14390553.2586665 4297432.6264461,14390534.136151001 4297462.4019264299))"
"288","1.77","2","591725","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14390828.2720211 4297405.3814109303,14390776.655544 4297373.1168748299,14390723.366341701 4297339.8269950701,14390774.8760291 4297255.4098894801,14390828.0789552 4297288.4021206498,14390879.890488699 4297320.7213757196,14390828.2720211 4297405.3814109303))"
"300","0.85","2","111757","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14392371.706846001 4301100.9013217101,14392356.3044373 4301101.7864545304,14392352.917034 4301102.0135207996,14392332.0413139 4301102.9234979497,14392320.6011602 4301099.7207018202,14392318.536006801 4301084.2785187,14392369.2112849 4301080.1788251502,14392371.706846001 4301100.9013217101))"
"154","0.75","2","140736","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14390797.496491799 4298768.8562299795,14390805.564548699 4298756.9110586196,14390843.0456833 4298782.3195463698,14390905.013529601 4298824.6535336496,14390903.1597424 4298827.4138895497,14390893.338075301 4298827.2355478704,14390880.553588299 4298819.8845589496,14390860.8177805 4298804.0154837398,14390837.1423344 4298795.4191083899,14390815.610516399 4298780.4590259101,14390797.496491799 4298768.8562299795))"
"196","1.26","3","111757","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14392148.5807338 4301232.3678001398,14392235.045301899 4301214.2490034597,14392229.9085136 4301236.7976022698,14392226.353640901 4301252.4092019396,14392215.138196301 4301301.6607868699,14392285.358497599 4301285.7189652603,14392280.0986169 4301323.2650538497,14392253.511195701 4301321.8008541903,14392241.3425742 4301320.7228683801,14392225.9501692 4301320.5574711701,14392192.6868944 4301319.1909568198,14392177.7623206 4301310.8627641601,14392174.6087329 4301304.9068179103,14392172.811110601 4301298.1680916697,14392169.7290466 4301294.7421318302,14392158.046690101 4301294.0496888896,14392153.730383599 4301292.4178494196,14392146.8360458 4301292.0278183203,14392142.4534711 4301288.8497120999,14392140.936507 4301283.1480605304,14392140.309139401 4301268.2137389099,14392139.575290401 4301267.6725199204,14392142.452862499 4301256.3887248198,14392148.5807338 4301232.3678001398))"
"252","0.21","1","140736","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14390445.9497348 4298480.2562847501,14390437.4269184 4298461.20164428,14390429.287242301 4298438.76100282,14390423.1151405 4298410.0442001997,14390425.7434866 4298406.1088701896,14390528.115051201 4298477.0520768799,14390513.032250101 4298497.12717399,14390498.6611469 4298516.27814948,14390445.9497348 4298480.2562847501))"
"24","2.15","5","541340","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14391756.4017995 4298398.9863824798,14391637.699413201 4298134.1679534204,14391665.2125315 4298120.6577797001,14391682.7505544 4298105.8138677701,14391747.0567626 4298076.8545518396,14391868.945565701 4298348.4167771405,14391756.4017995 4298398.9863824798))"
"233","2.88","5","591725","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14390415.0332365 4297422.1727281399,14390377.547720101 4297482.9162781397,14390357.1733822 4297450.93584029,14390342.9438894 4297434.4663204104,14390334.043078 4297418.1155032599,14390308.0222026 4297326.2781384196,14390428.073285401 4297400.7340587704,14390415.0332365 4297422.1727281399))"
"280","0.95","2","591725","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14390763.0467286 4296977.5572372796,14390819.533117799 4297041.3265787801,14390817.192742901 4297043.8099179296,14390749.398768701 4297001.04982566,14390763.0467286 4296977.5572372796))"
"303","2.11","5","47274","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14391568.390090199 4300680.5368569903,14391567.3037965 4300631.6618454,14391562.3885944 4300631.67594775,14391560.643825799 4300581.2179805301,14391625.517061001 4300579.07771922,14391628.536093 4300678.2918426404,14391568.390090199 4300680.5368569903))"
"248","1.75","2","421755","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14392548.9389014 4300657.0625998797,14392548.17594 4300657.4940734804,14392539.5320598 4300671.2400246197,14392537.378152199 4300673.9184700297,14392529.050247001 4300663.72265442,14392510.933359999 4300641.9639124405,14392567.246695099 4300560.7142024701,14392594.6444913 4300548.6994745098,14392595.1636972 4300547.6959716296,14392596.816149499 4300548.3430897798,14392591.2449525 4300566.9358359398,14392588.370257501 4300573.8603860401,14392574.3072048 4300604.5418300703,14392556.1154452 4300639.7955948301,14392551.9719884 4300652.7519443296,14392548.9389014 4300657.0625998797))"
"65","1.24","3","541340","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14391325.016307199 4298072.3320730003,14391296.874903699 4298009.7578906296,14391209.905637 4297818.2563894903,14391323.5728759 4297766.3528241701,14391404.003539599 4297945.5007973602,14391402.342289001 4297948.1880371803,14391325.016307199 4298072.3320730003))"
"205","1.28","3","591725","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14389988.662043899 4297409.5881289998,14389992.6635646 4297390.5846880795,14389996.086455399 4297391.60453879,14390003.3121136 4297388.9516136404,14390014.0819168 4297391.12259633,14390014.638889899 4297391.2349689296,14390013.4888581 4297394.5853955699,14390012.955621701 4297399.9397676196,14390007.680110401 4297412.54491405,14389988.662043899 4297409.5881289998))"
"53","0.18","1","591725","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14390857.5412478 4296940.3075456796,14390820.6314569 4296953.6618525404,14390790.8833407 4296964.3043595096,14390774.822154099 4296919.0122297304,14390770.646205699 4296920.5501213996,14390753.2666013 4296874.7005652497,14390786.9109642 4296862.2624792196,14390822.069759799 4296848.5506947897,14390839.920440299 4296894.7263303204,14390857.5412478 4296940.3075456796))"
"193","0.75","2","140736","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14391713.386337901 4299275.1698409999,14391611.301800599 4299205.5225064298,14391650.4570281 4299148.0000105901,14391702.4224007 4299072.5728204502,14391754.704932399 4299214.1062984001,14391713.386337901 4299275.1698409999))"
