"SN","PRSNTN_DT","PRSNTN_HR","LAT","LOT","PSTN","ROPR_","ROPR_GRD","STDG_CTPV_CD","STDG_SGG_CD","XMAP_CRTS","YMAP_CRTS","GEOM"
"일련번호","발표일시","발표시간","위도","경도","위치","진도","진도등급","법정동시도코드","법정동시군구코드","X지도좌표","Y지도좌표","지오메트리"
"821","20190627","1519","38.8","125.69","북한 황해북도 송림 북동쪽 9km 지역","3.9","4","","","1.3991746797806554E7","4693063.644295792","POINT(13991746.79780655 4693063.6442957902)"
"920","20190627","1537","38.8","125.71","북한 황해북도 송림 북동쪽 10km 지역","2.5","3","","","1.3993973187622419E7","4693063.644295792","POINT(13993973.187622409 4693063.6442957902)"
"822","20190627","1539","38.77","125.71","북한 황해북도 송림 동북동쪽 8km 지역","2.3","3","","","1.3993973187622419E7","4688779.389880457","POINT(13993973.187622409 4688779.3898804607)"
"789","20190623","0526","38.81","125.7","북한 황해북도 송림 북동쪽 10km 지역","3.4","4","","","1.3992859992714487E7","4694492.12985307","POINT(13992859.99271448 4694492.1298530698)"
"933","20190623","1841","36.69","128.41","경북 예천군 북서쪽 5km 지역","2.4","3","47","47900","1.4294535812764259E7","4395984.422780841","POINT(14294535.81276425 4395984.4227808397)"
"932","20190623","1315","38.75","125.73","북한 황해북도 송림 동쪽 8km 지역","2.4","3","","","1.3996199577438287E7","4685924.221153926","POINT(13996199.57743828 4685924.2211539298)"
"788","20190622","0549","38.81","125.7","북한 황해북도 송림 북동쪽 10km 지역","3.4","4","","","1.3992859992714487E7","4694492.12985307","POINT(13992859.99271448 4694492.1298530698)"
"820","20190622","0543","38.81","125.71","북한 황해북도 송림 북동쪽 10km 지역","2.7","3","","","1.3993973187622419E7","4694492.12985307","POINT(13993973.187622409 4694492.1298530698)"
"819","20190621","1320","38.81","125.68","북한 황해북도 송림 북북동쪽 9km 지역","2.5","3","","","1.3990633602898624E7","4694492.12985307","POINT(13990633.60289862 4694492.1298530698)"
"787","20190615","2207","35.71","126.36","전북 부안군 서쪽 34km 해역","2.2","3","45","45800","1.4066330856638048E7","4260790.840203072","POINT(14066330.85663804 4260790.8402030701)"
"857","20190611","2318","35.76","129.19","경북 경주시 남남서쪽 9km 지역","2.5","3","47","47130","1.4381365015583012E7","4267647.795206198","POINT(14381365.01558301 4267647.7952062003)"
"888","20190517","1108","38.37","126.3","북한 황해북도 평산 서북서쪽 9km 지역","2.4","3","","","1.4059651687190453E7","4631827.070357362","POINT(14059651.687190451 4631827.0703573599)"
"919","20190516","0035","39.15","126.47","북한 평안남도 양덕 서남서쪽 16km 지역","3.3","4","","","1.4078576000625309E7","4743180.617866745","POINT(14078576.000625299 4743180.6178667499)"
"856","20190513","2350","33.35","127.17","제주 서귀포시 동쪽 58km 해역","2.4","3","50","50130","1.41564996441806E7","3941853.29117671","POINT(14156499.6441806 3941853.2911767098)"
"887","20190510","1605","36.56","129.64","경북 영덕군 동북동쪽 29km 해역","2","3","47","47770","1.4431458786439983E7","4377952.637012158","POINT(14431458.786439979 4377952.6370121604)"
"918","20190510","1605","36.56","129.64","경북 영덕군 동북동쪽 29km 해역","2","3","47","47770","1.4431458786439983E7","4377952.637012158","POINT(14431458.786439979 4377952.6370121604)"
"886","20190505","1657","36.55","129.54","경북 영덕군 북동쪽 22km 해역","2.1","3","47","47770","1.4420326837360656E7","4376566.834692951","POINT(14420326.83736065 4376566.8346929504)"
"818","20190504","0543","37.42","124.56","인천 옹진군 백령도 남쪽 60km 해역","2.4","3","28","28720","1.3865955773210157E7","4497812.1866527805","POINT(13865955.773210149 4497812.1866527796)"
"885","20190427","0110","33.79","126.09","제주 제주시 북서쪽 52km 해역","2.5","3","50","50110","1.4036274594123863E7","4000638.892040693","POINT(14036274.594123861 4000638.8920406899)"
"917","20190422","0545","36.86","129.8","경북 울진군 동남동쪽 38km 해역","3.8","4","47","47930","1.4449269904966911E7","4419610.516859498","POINT(14449269.904966909 4419610.5168595007)"
"884","20190419","1116","37.88","129.54","강원 동해시 북동쪽 54km 해역","4.3","5","42","42170","1.4420326837360656E7","4562487.679444513","POINT(14420326.83736065 4562487.6794445096)"
"931","20190328","1621","33.62","126.94","제주 제주시 동북동쪽 40km 해역","2.2","3","50","50110","1.4130896161298146E7","3977890.728923499","POINT(14130896.161298141 3977890.7289234996)"
"817","20190321","0713","37.56","125.2","북한 황해남도 옹진 남남서쪽 43km 해역","2.7","3","","","1.393720024731785E7","4517453.687744585","POINT(13937200.247317851 4517453.6877445905)"
"916","20190321","0441","41.31","129.08","북한 함경북도 길주 북북서쪽 45km 지역","2.8","3","","","1.4369119871595753E7","5058174.684732479","POINT(14369119.87159575 5058174.68473248)"
"883","20190319","0531","38.01","126","북한 황해남도 해주 동쪽 25km 지역","2.2","3","","","1.4026255839952469E7","4580838.57381664","POINT(14026255.83995246 4580838.5738166403)"
"855","20190317","1928","36.34","127.87","충북 옥천군 동쪽 27km 지역","2.3","3","43","43730","1.4234423287735892E7","4347506.265490479","POINT(14234423.287735891 4347506.2654904807)"
"816","20190313","1220","33.63","126.93","제주 제주시 동북동쪽 40km 해역","2.4","3","50","50110","1.4129782966390217E7","3979227.611415266","POINT(14129782.966390209 3979227.6114152698)"
"815","20190311","0427","33.47","126.4","제주 제주시 서남서쪽 13km 지역","2.4","3","50","50110","1.407078363626978E7","3957856.064557824","POINT(14070783.63626978 3957856.0645578201)"
"882","20190309","1506","36.82","128.73","경북 봉화군 남쪽 8km 지역","2","3","47","47920","1.4330158049818104E7","4414046.718766293","POINT(14330158.0498181 4414046.7187662898)"
"915","20190303","1425","39.63","127.12","북한 함경남도 금야 북서쪽 15km 지역","2.5","3","","","1.4150933669640936E7","4812319.666403434","POINT(14150933.66964093 4812319.6664034296)"
"814","20190227","2122","37.31","124.74","인천 옹진군 백령도 남쪽 72km 해역","2.2","3","28","28720","1.3885993281552944E7","4482405.327687842","POINT(13885993.281552941 4482405.32768784)"
"813","20190225","0930","36.77","129.03","경북 영양군 북북서쪽 14km 지역","2.9","3","47","47760","1.436355389705609E7","4407096.058665365","POINT(14363553.89705609 4407096.0586653706)"
