"REARE_NM","RONA_DADDR","LAT","LOT","SHLT_SE_CD","SHLT_SE_NM","MNG_SN"
"사방경로당","전북특별자치도 김제시 금구면 사방길 107-20","35.810342","126.987799","1","한파쉼터","T2025121800051500802869"
"보륭3차경로당","경기도 안산시 단원구 화정로3길 18","37.3318028","126.824457","1","한파쉼터","T2025111000043300800680"
"병영(본점)새마을금고","울산광역시 중구 병영로 6","35.5698808","129.3462756","1","한파쉼터","T2025110709130800795152"
"보현2리경로당","대구광역시 군위군 소보면 보현2길 35 ","36.2961211","128.4305835","1","한파쉼터","T2024111210555300041067"
"보현1리경로당","대구광역시 군위군 소보면 소보안계로 650 ","36.3039031","128.4588969","1","한파쉼터","T2024111210555300041066"
"삭선8리마을회관","충청남도 태안군 태안읍 삭선길 539","36.802445","126.272771","1","한파쉼터","T2025121800051500802870"
"사산경로당","전북특별자치도 김제시 용지면 사산길 133","35.866525","126.947588","1","한파쉼터","T2025121300055000802747"
"본리2리경로당","대구광역시 달성군 화원읍 마비정길 268 ","35.7782518","128.5423753","1","한파쉼터","T2024111210555300012070"
"사천2리마을회관및경로당","충청남도 예산군 덕산면 사천리 25-35","36.6568779","126.6203848","1","한파쉼터","T2024111210555300026166"
"보라매파크뷰경로당","서울특별시 관악구 신림동 1718","37.489312","126.922283","1","한파쉼터","T2026010800041700915785"
"사천시청한파응급대피소","경상남도 사천시 용현면 시청로 77 (사천시청)","35.003434","128.064561","1","한파쉼터","T2025111300043200801093"
"복주경로당","서울특별시 서대문구 북아현로24길 26","37.566226","126.952422","1","한파쉼터","T2025110709130800795187"
"복지","전북특별자치도 김제시 부량면 벽골제로 208 (부량면사무소)","35.733922","126.843923","1","한파쉼터","T2025120500052600802548"
"사촌1리경로당","경상북도 의성군 점곡면 사촌1길 219 ","36.442541","128.7539184","1","한파쉼터","T2025110709130800795433"
"복지경로당","경기도 양주시 백석읍 호명로 96 (복지1리마을회관,(남)경로당,(여)경로당)","37.785172","126.990598","1","한파쉼터","T2025120900052000802614"
"보실경로당","경상북도 예천군 효자면 하보곡길 45 (보곡리농업인건강관리실)","36.771066","128.444541","1","한파쉼터","T2025120700051600802605"
