LO,SHNT_PLACE_SN,RN_DTL_ADRES,SHNT_PLACE_NM,EV_ANTCTY,ARCD,SHNT_PLACE_DTL_POSITION,USE_AT,LA,SHNTDTR_SN,SHNT_PLACE_TY_CD,ERTHQK_SHUNT_AT,PSBL_NMPR,RDNMADR_CD
129.4388666,1,,대진3리 마을 뒤 야산,20,4777000000,경상북도 영덕군 영해면 대진리 90-1,Y,36.5504543,30,2,N,150,
129.4371438,1,,사진1리 마을회관,35,4777000000,경상북도 영덕군 영해면 사진리 산 83,Y,36.5384882,31,2,N,100,
129.4424116,1,경상북도 영덕군 축산면 축산항초교길 2,축산항 초교 ,20,4777000000,경상북도 영덕군 축산면 축산리 187,Y,36.5092801,37,5,N,400,4.77704E+24
129.4436097,2,,영해사진 목너머,15,4777000000,경상북도 영덕군 축산면 축산리 산 8-5,Y,36.5117521,37,2,N,400,
129.4509249,3,,죽도산,40,4777000000,경상북도 영덕군 축산면 축산리 산 106-4,Y,36.5075714,37,2,N,300,
129.4437016,4,,블루로드길,40,4777000000,경상북도 영덕군 축산면 축산리 산 113-2,Y,36.5013571,37,2,N,100,
129.4465626,5,,와우산,30,4777000000,경상북도 영덕군 축산면 축산리 산 20-2,Y,36.511169,37,2,N,200,
129.4140342,1,,마을 뒤 고지대,14,4793000000,경상북도 울진군 매화면 오산리 642-1,Y,36.9091648,4,2,N,380,
129.4129694,2,,오산3리 뒷산,11,4793000000,경상북도 울진군 매화면 오산리 561,Y,36.9041697,4,2,N,250,
129.4185966,1,,망양정로,18,4793000000,경상북도 울진군 매화면 오산리 106-4,Y,36.8969414,5,2,N,100,
129.4179046,2,,오산항 등대,43,4793000000,경상북도 울진군 매화면 오산리 238,Y,36.8941742,5,2,N,100,
129.4448608,1,,사동3리 산75번지일대,25,4793000000,경상북도 울진군 기성면 사동리 198,Y,36.8254599,10,2,N,30,
129.4467437,2,,사동3리 169번지 일대,20,4793000000,경상북도 울진군 기성면 사동리 169,Y,36.8230917,10,2,N,30,
129.4737509,1,,구산1리 88번지 일대 밭,20,4793000000,경상북도 울진군 기성면 구산리 88,Y,36.7629648,14,2,N,30,
129.4717285,2,,구산1리 48번지 일대 밭,25,4793000000,경상북도 울진군 기성면 구산리 48,Y,36.7623847,14,2,N,30,
129.4672653,3,,구산중앙교회 옆,15,4793000000,경상북도 울진군 기성면 구산리 178-1,Y,36.7609708,14,2,N,30,
